,dateorder,idbill,idproduct,qty,price
11552,2020-09-04,242257,30365,1.0,6.04
11554,2020-09-04,242262,30365,1.0,6.04
11608,2020-09-04,256644,30365,1.0,6.04
11624,2020-09-04,256699,30365,1.0,6.04
11691,2020-09-04,268510,30365,1.0,6.37
11695,2020-09-04,268521,30365,10.0,63.69
11727,2020-09-04,268714,30365,1.0,6.37
11738,2020-09-04,320310,30365,1.0,6.04
11751,2020-09-04,320397,30365,1.0,6.04
11754,2020-09-04,320491,30365,2.0,12.08
11757,2020-09-04,320500,30365,1.0,6.04
11809,2020-09-04,472529,30365,1.0,6.37
11830,2020-09-05,10231,30365,1.0,6.22
11859,2020-09-05,20389,30365,1.0,6.04
11935,2020-09-05,27300,30365,1.0,6.04
11950,2020-09-05,30334,30365,1.0,6.04
11955,2020-09-05,30353,30365,1.0,6.04
11982,2020-09-05,30762,30365,1.0,6.04
11986,2020-09-05,32195,30365,1.0,6.04
11989,2020-09-05,33945,30365,1.0,6.04
11995,2020-09-05,33995,30365,1.0,6.04
12044,2020-09-05,39838,30365,1.0,6.04
12047,2020-09-05,39863,30365,1.0,6.04
12054,2020-09-05,40696,30365,2.0,12.08
12073,2020-09-05,41599,30365,1.0,6.04
12077,2020-09-05,41624,30365,1.0,6.04
12105,2020-09-05,41692,30365,1.0,6.04
12113,2020-09-05,41721,30365,2.0,12.74
12115,2020-09-05,41731,30365,1.0,6.37
12131,2020-09-05,42627,30365,1.0,6.04
12133,2020-09-05,42640,30365,1.0,6.04
12159,2020-09-05,43917,30365,1.0,6.04
12164,2020-09-05,43963,30365,1.0,6.04
12231,2020-09-05,50524,30365,2.0,12.08
12233,2020-09-05,50530,30365,1.0,6.04
12262,2020-09-05,50934,30365,1.0,6.04
12277,2020-09-05,52688,30365,1.0,6.04
12280,2020-09-05,52733,30365,1.0,6.04
12283,2020-09-05,52734,30365,1.0,6.04
12409,2020-09-05,58030,30365,1.0,6.04
12418,2020-09-05,58118,30365,1.0,6.04
12427,2020-09-05,58467,30365,1.0,6.04
12435,2020-09-05,58503,30365,1.0,6.04
12438,2020-09-05,58511,30365,1.0,6.04
12485,2020-09-05,58681,30365,1.0,6.04
12490,2020-09-05,59155,30365,2.0,12.74
12535,2020-09-05,65923,30365,1.0,6.04
12536,2020-09-05,65926,30365,1.0,6.04
12550,2020-09-05,66353,30365,1.0,6.37
12582,2020-09-05,67819,30365,1.0,6.37
12584,2020-09-05,67855,30365,1.0,6.37
12607,2020-09-05,70891,30365,1.0,6.37
12622,2020-09-05,71015,30365,1.0,6.37
12631,2020-09-05,72595,30365,1.0,6.37
12683,2020-09-05,72860,30365,1.0,6.37
12721,2020-09-05,76079,30365,1.0,6.04
12729,2020-09-05,76214,30365,1.0,6.04
12732,2020-09-05,76243,30365,1.0,6.04
12805,2020-09-05,101667,30365,1.0,6.37
12841,2020-09-05,103341,30365,2.0,12.74
12844,2020-09-05,103371,30365,1.0,6.37
12845,2020-09-05,103378,30365,1.0,6.37
12853,2020-09-05,103486,30365,2.0,12.74
12929,2020-09-05,164885,30365,1.0,6.04
12979,2020-09-05,190238,30365,1.0,6.04
13001,2020-09-05,193706,30365,1.0,6.37
13023,2020-09-05,218469,30365,1.0,6.04
13026,2020-09-05,218478,30365,1.0,6.04
13027,2020-09-05,218524,30365,1.0,6.04
13057,2020-09-05,242497,30365,1.0,6.04
13065,2020-09-05,242554,30365,1.0,6.04
13099,2020-09-05,257051,30365,1.0,6.04
13110,2020-09-05,257146,30365,1.0,6.04
13140,2020-09-05,268865,30365,1.0,6.37
13148,2020-09-05,268917,30365,1.0,6.37
13161,2020-09-05,269051,30365,1.0,6.37
13162,2020-09-05,320571,30365,2.0,12.08
13175,2020-09-05,320689,30365,2.0,12.08
13178,2020-09-05,320730,30365,1.0,6.04
13181,2020-09-05,336664,30365,1.0,6.37
13213,2020-09-05,472923,30365,1.0,6.37
13220,2020-09-05,473037,30365,1.0,6.37
13229,2020-09-06,16743,30365,1.0,6.04
13235,2020-09-06,20458,30365,1.0,6.04
13241,2020-09-06,27075,30365,1.0,6.37
13285,2020-09-06,35988,30365,1.0,6.04
13304,2020-09-06,40849,30365,1.0,6.04
13319,2020-09-06,41716,30365,1.0,6.04
13334,2020-09-06,41871,30365,1.0,6.37
13336,2020-09-06,41887,30365,1.0,6.37
13339,2020-09-06,41919,30365,1.0,6.37
13374,2020-09-06,44171,30365,1.0,6.04
13382,2020-09-06,44228,30365,2.0,12.08
13407,2020-09-06,49957,30365,1.0,6.37
13466,2020-09-06,58114,30365,1.0,6.04
13468,2020-09-06,58135,30365,2.0,12.08
13505,2020-09-06,58785,30365,1.0,6.04
13535,2020-09-06,59382,30365,1.0,6.37
13549,2020-09-06,59547,30365,1.0,6.37
13554,2020-09-06,64641,30365,1.0,6.37
13563,2020-09-06,64851,30365,2.0,12.74
13573,2020-09-06,66631,30365,1.0,6.37
13582,2020-09-06,66730,30365,1.0,6.37
13590,2020-09-06,68030,30365,2.0,12.74
13618,2020-09-06,72914,30365,1.0,6.37
13622,2020-09-06,72933,30365,1.0,6.37
13649,2020-09-06,76444,30365,1.0,6.04
13652,2020-09-06,76465,30365,1.0,6.04
13661,2020-09-06,76550,30365,1.0,6.04
13686,2020-09-06,76960,30365,1.0,6.04
13688,2020-09-06,82243,30365,1.0,6.37
13705,2020-09-06,99438,30365,1.0,6.37
13718,2020-09-06,102193,30365,1.0,6.37
13720,2020-09-06,102204,30365,1.0,6.37
13737,2020-09-06,103806,30365,1.0,6.37
13749,2020-09-06,149545,30365,1.0,6.04
13760,2020-09-06,158559,30365,1.0,6.04
13763,2020-09-06,158608,30365,2.0,12.08
13796,2020-09-06,187542,30365,1.0,6.04
13809,2020-09-06,190496,30365,1.0,6.04
13817,2020-09-06,190573,30365,1.0,6.04
13821,2020-09-06,193744,30365,1.0,6.37
13825,2020-09-06,218680,30365,1.0,6.04
13826,2020-09-06,218689,30365,1.0,6.04
13837,2020-09-06,218818,30365,1.0,6.04
13840,2020-09-06,218845,30365,1.0,6.04
13845,2020-09-06,218872,30365,1.0,6.04
13867,2020-09-06,244331,30365,1.0,6.37
13907,2020-09-06,257424,30365,1.0,6.04
13909,2020-09-06,257439,30365,1.0,6.04
13928,2020-09-06,269135,30365,1.0,6.37
13943,2020-09-06,337138,30365,1.0,6.37
13957,2020-09-06,473655,30365,1.0,6.37
14053,2020-09-07,10046,30365,1.0,5.53
14175,2020-09-07,15048,30365,1.0,6.04
14423,2020-09-07,16769,30365,1.0,6.04
14586,2020-09-07,24398,30365,1.0,6.04
14608,2020-09-07,24426,30365,1.0,5.82
14693,2020-09-07,25714,30365,1.0,6.04
14783,2020-09-07,27224,30365,1.0,6.37
14791,2020-09-07,27321,30365,1.0,6.37
14792,2020-09-07,27716,30365,1.0,6.04
14852,2020-09-07,27801,30365,1.0,6.04
14929,2020-09-07,29561,30365,1.0,6.04
15069,2020-09-07,30873,30365,1.0,6.04
15077,2020-09-07,30898,30365,1.0,6.04
15084,2020-09-07,30910,30365,1.0,6.04
15427,2020-09-07,35972,30365,1.0,6.04
15442,2020-09-07,36154,30365,2.0,12.08
15451,2020-09-07,40048,30365,1.0,6.04
15505,2020-09-07,41712,30365,1.0,6.04
15520,2020-09-07,41732,30365,1.0,6.04
15569,2020-09-07,41831,30365,1.0,6.04
15661,2020-09-07,42961,30365,1.0,6.04
15734,2020-09-07,44466,30365,1.0,6.04
15743,2020-09-07,46602,30365,1.0,6.04
15757,2020-09-07,49539,30365,1.0,5.82
15789,2020-09-07,50037,30365,1.0,6.37
15830,2020-09-07,51006,30365,1.0,6.04
16136,2020-09-07,58964,30365,1.0,6.04
16218,2020-09-07,59769,30365,1.0,6.37
16223,2020-09-07,59830,30365,1.0,6.37
16281,2020-09-07,65103,30365,1.0,6.37
16350,2020-09-07,68236,30365,1.0,6.37
16428,2020-09-07,71679,30365,1.0,6.37
16434,2020-09-07,73125,30365,2.0,12.74
16436,2020-09-07,73132,30365,1.0,6.37
16446,2020-09-07,73204,30365,1.0,6.37
16449,2020-09-07,73221,30365,1.0,6.37
16471,2020-09-07,73443,30365,1.0,6.37
16476,2020-09-07,74403,30365,1.0,5.82
16559,2020-09-07,76746,30365,1.0,6.04
16663,2020-09-07,77289,30365,1.0,6.04
16716,2020-09-07,82651,30365,1.0,6.37
16731,2020-09-07,82716,30365,1.0,6.37
16818,2020-09-07,99184,30365,1.0,6.04
16844,2020-09-07,99553,30365,1.0,6.37
16845,2020-09-07,99570,30365,2.0,12.74
16846,2020-09-07,99585,30365,1.0,6.04
16895,2020-09-07,102440,30365,1.0,6.37
16915,2020-09-07,102728,30365,1.0,6.37
16963,2020-09-07,104299,30365,1.0,6.37
17031,2020-09-07,144425,30365,1.0,6.04
17134,2020-09-07,165281,30365,1.0,6.04
17289,2020-09-07,193973,30365,1.0,6.37
17292,2020-09-07,193986,30365,2.0,12.74
17300,2020-09-07,194004,30365,1.0,6.37
17383,2020-09-07,242941,30365,2.0,12.08
17425,2020-09-07,244555,30365,1.0,6.37
17426,2020-09-07,244564,30365,1.0,6.37
17445,2020-09-07,244690,30365,1.0,6.37
17448,2020-09-07,244752,30365,1.0,6.37
17452,2020-09-07,244791,30365,1.0,6.37
17498,2020-09-07,269403,30365,1.0,6.37
17503,2020-09-07,269431,30365,2.0,12.74
17590,2020-09-07,337480,30365,1.0,6.37
17620,2020-09-07,337625,30365,1.0,6.37
17629,2020-09-07,473833,30365,1.0,6.37
17710,2020-09-08,6664,30365,2.0,11.64
17773,2020-09-08,11844,30365,1.0,6.04
17787,2020-09-08,11855,30365,1.0,6.04
17795,2020-09-08,13352,30365,1.0,6.19
17820,2020-09-08,15261,30365,2.0,12.08
17831,2020-09-08,15355,30365,2.0,11.48
17952,2020-09-08,16196,30365,1.0,6.04
18493,2020-09-08,24695,30365,1.0,5.82
18625,2020-09-08,27149,30365,2.0,12.08
18635,2020-09-08,27170,30365,1.0,6.04
18637,2020-09-08,27355,30365,1.0,6.37
18639,2020-09-08,27390,30365,1.0,6.37
18765,2020-09-08,28021,30365,1.0,6.04
18940,2020-09-08,30791,30365,1.0,6.04
18956,2020-09-08,31017,30365,1.0,6.04
18998,2020-09-08,31136,30365,1.0,5.74
19088,2020-09-08,34954,30365,1.0,5.82
19242,2020-09-08,36211,30365,1.0,6.04
19246,2020-09-08,36279,30365,2.0,12.08
19247,2020-09-08,36280,30365,2.0,12.08
19266,2020-09-08,41105,30365,2.0,12.08
19281,2020-09-08,41947,30365,1.0,6.04
19311,2020-09-08,41989,30365,1.0,6.04
19413,2020-09-08,42219,30365,1.0,6.37
19418,2020-09-08,42254,30365,1.0,6.37
19446,2020-09-08,44487,30365,1.0,6.04
19447,2020-09-08,44489,30365,1.0,6.04
19452,2020-09-08,44506,30365,1.0,6.04
19522,2020-09-08,50171,30365,1.0,6.37
19559,2020-09-08,50295,30365,1.0,6.37
19560,2020-09-08,50300,30365,1.0,6.37
19597,2020-09-08,50874,30365,2.0,12.08
19695,2020-09-08,53623,30365,1.0,6.04
19720,2020-09-08,54727,30365,1.0,6.04
19809,2020-09-08,55144,30365,1.0,6.04
19899,2020-09-08,58677,30365,1.0,6.04
19939,2020-09-08,58796,30365,1.0,6.04
19945,2020-09-08,58828,30365,1.0,6.04
19967,2020-09-08,59086,30365,1.0,6.37
19984,2020-09-08,59200,30365,5.0,30.2
20107,2020-09-08,65384,30365,1.0,6.37
20172,2020-09-08,66777,30365,1.0,6.04
20225,2020-09-08,67268,30365,1.0,6.37
20275,2020-09-08,71730,30365,1.0,6.37
20300,2020-09-08,71836,30365,1.0,6.37
20311,2020-09-08,71850,30365,1.0,6.37
20332,2020-09-08,73479,30365,1.0,6.37
20380,2020-09-08,73713,30365,1.0,6.37
20394,2020-09-08,73765,30365,1.0,6.37
20403,2020-09-08,73831,30365,1.0,6.37
20539,2020-09-08,77454,30365,1.0,6.04
20578,2020-09-08,77652,30365,1.0,6.04
20681,2020-09-08,92621,30365,1.0,6.04
20694,2020-09-08,99672,30365,2.0,12.74
20712,2020-09-08,100091,30365,1.0,6.04
20753,2020-09-08,100598,30365,2.0,12.08
20773,2020-09-08,100736,30365,1.0,6.04
20794,2020-09-08,102915,30365,1.0,6.37
20828,2020-09-08,104525,30365,2.0,12.74
20857,2020-09-08,104714,30365,1.0,6.37
20882,2020-09-08,104888,30365,1.0,6.37
21054,2020-09-08,144679,30365,2.0,12.08
21081,2020-09-08,149823,30365,2.0,12.08
21150,2020-09-08,158990,30365,1.0,6.04
21359,2020-09-08,194170,30365,1.0,6.37
21505,2020-09-08,257788,30365,1.0,6.04
21527,2020-09-08,257904,30365,2.0,12.08
21537,2020-09-08,257975,30365,1.0,6.04
21584,2020-09-08,269795,30365,1.0,6.37
21588,2020-09-08,269811,30365,1.0,6.37
21600,2020-09-08,269969,30365,1.0,6.05
21631,2020-09-08,321505,30365,1.0,6.04
21735,2020-09-08,474284,30365,2.0,12.74
21793,2020-09-09,2168,30365,1.0,5.57
21872,2020-09-09,11879,30365,1.0,6.04
22038,2020-09-09,15627,30365,1.0,6.04
22287,2020-09-09,16809,30365,1.0,5.82
22311,2020-09-09,17738,30365,1.0,6.04
22390,2020-09-09,20645,30365,1.0,6.04
22496,2020-09-09,24701,30365,1.0,6.04
22520,2020-09-09,24748,30365,1.0,5.82
22523,2020-09-09,24753,30365,2.0,11.64
22526,2020-09-09,24762,30365,1.0,6.04
22571,2020-09-09,25937,30365,1.0,6.04
22617,2020-09-09,26018,30365,2.0,12.08
22622,2020-09-09,26031,30365,1.0,6.04
22965,2020-09-09,32610,30365,1.0,6.04
23129,2020-09-09,35247,30365,2.0,11.64
23154,2020-09-09,35288,30365,1.0,5.82
23231,2020-09-09,36365,30365,1.0,6.04
23457,2020-09-09,42413,30365,1.0,6.37
23484,2020-09-09,43313,30365,1.0,6.04
23509,2020-09-09,43376,30365,3.0,18.12
23544,2020-09-09,47022,30365,1.0,6.04
23563,2020-09-09,49748,30365,2.0,11.64
23586,2020-09-09,50447,30365,1.0,6.37
23598,2020-09-09,50982,30365,1.0,6.04
23601,2020-09-09,50990,30365,1.0,6.04
23675,2020-09-09,51412,30365,1.0,6.04
23876,2020-09-09,58827,30365,1.0,6.04
23897,2020-09-09,58878,30365,1.0,6.04
23930,2020-09-09,59000,30365,1.0,6.04
23938,2020-09-09,59038,30365,1.0,6.04
23941,2020-09-09,59039,30365,1.0,6.04
24006,2020-09-09,59446,30365,1.0,6.04
24048,2020-09-09,59554,30365,1.0,6.04
24058,2020-09-09,60130,30365,2.0,12.74
24154,2020-09-09,65753,30365,1.0,6.37
24210,2020-09-09,67130,30365,1.0,6.04
24249,2020-09-09,67485,30365,1.0,6.37
24326,2020-09-09,72070,30365,1.0,6.37
24334,2020-09-09,72119,30365,1.0,6.37
24363,2020-09-09,72183,30365,3.0,19.11
24392,2020-09-09,73942,30365,1.0,6.37
24412,2020-09-09,73994,30365,1.0,6.37
24671,2020-09-09,83316,30365,1.0,6.37
24724,2020-09-09,83593,30365,1.0,6.37
24844,2020-09-09,103266,30365,2.0,12.74
24860,2020-09-09,103412,30365,2.0,12.74
24905,2020-09-09,105101,30365,1.0,6.37
24925,2020-09-09,105234,30365,1.0,6.37
25102,2020-09-09,159050,30365,1.0,6.04
25124,2020-09-09,159151,30365,1.0,6.04
25159,2020-09-09,165725,30365,1.0,6.04
25216,2020-09-09,191082,30365,1.0,6.04
25275,2020-09-09,191197,30365,1.0,6.04
25316,2020-09-09,194235,30365,1.0,6.37
25348,2020-09-09,219554,30365,1.0,6.04
25363,2020-09-09,219637,30365,1.0,6.04
25375,2020-09-09,243366,30365,1.0,6.04
25463,2020-09-09,258006,30365,1.0,6.04
25473,2020-09-09,258049,30365,1.0,6.04
25537,2020-09-09,270177,30365,1.0,6.37
25582,2020-09-09,321626,30365,1.0,6.04
25592,2020-09-09,321786,30365,1.0,6.04
25618,2020-09-09,338052,30365,1.0,6.37
25665,2020-09-10,6919,30365,2.0,11.64
25817,2020-09-10,15755,30365,1.0,6.04
25847,2020-09-10,16193,30365,1.0,6.04
26159,2020-09-10,20838,30365,1.0,6.04
26210,2020-09-10,24913,30365,1.0,5.82
26236,2020-09-10,24986,30365,1.0,5.82
26239,2020-09-10,26047,30365,1.0,6.04
26299,2020-09-10,26154,30365,1.0,6.04
26364,2020-09-10,27488,30365,1.0,6.04
26480,2020-09-10,28330,30365,1.0,6.04
26491,2020-09-10,28422,30365,3.0,18.12
26546,2020-09-10,30180,30365,1.0,6.04
26625,2020-09-10,31373,30365,1.0,6.04
26825,2020-09-10,35467,30365,1.0,5.82
26841,2020-09-10,36407,30365,2.0,12.08
26946,2020-09-10,41408,30365,3.0,18.12
26992,2020-09-10,42439,30365,1.0,6.37
27008,2020-09-10,42464,30365,1.0,6.04
27016,2020-09-10,42472,30365,1.0,6.04
